WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (454634.387688127 339494.885737906,454675.992153436 339306.30011436)",residential,Orston Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454543.740217383 339515.078313718,454543.863141799 339584.569727417)",residential,Longore Square,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454464.569889801 339514.463667567,454474.683133585 339514.444133457,454476.529665205 339514.565075096,454477.880136695 339514.580296482,454543.740217383 339515.078313718,454553.370214386 339515.008989082,454606.457756775 339513.594757807)",residential,Fairham Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454462.159597882 339636.527982811,454446.604424455 339636.497356323)",trunk_link,,,40 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (454436.872680305 339623.548883489,454435.862712356 339619.554571448,454436.03186848 339617.064359864,454436.562655659 339615.279129212)",cycleway,,asphalt,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (454475.507203555 339517.045667763,454473.577460019 339519.538286137,454472.500995916 339635.320588613,454471.727096365 339648.540113476,454473.121136663 339653.629063935)",cycleway,,asphalt,,yes,,,,no,,,yes,,,2,track,,,,,,,
"LINESTRING (454468.550391696 339300.765051904,454466.308719856 339320.198321637,454458.553984541 339373.279794501,454455.255598756 339402.413742044,454452.769488267 339434.605235486,454451.904566856 339455.311207926,454449.104548877 339514.178165278,454446.872876437 339621.614432065,454446.604424455 339636.497356323,454445.745976736 339663.789717554,454441.602893332 339694.560744502,454438.255858651 339716.106557771,454431.247012899 339741.215800739,454425.53344141 339759.308309153,454418.070041738 339777.058480759,454407.728668118 339799.181970202,454384.506802298 339839.806895141,454350.276384807 339901.613486608,454344.474144143 339912.696010285,454341.433058945 339918.43596021)",trunk,Middleton Boulevard,asphalt,40 mph,yes,,yes,,,,A6514,,2,,,,,,,,,residential,
"LINESTRING (454330.730998981 340025.888317251,454326.650889085 340011.101128477,454325.200611992 340003.241330842,454323.339172441 339997.290501939,454322.854393946 339987.817232226,454325.894088279 339979.206870498,454361.053938791 339914.74044274,454367.588831103 339902.442372929,454401.422329924 339842.489394928,454421.061911901 339805.540134066,454433.405932169 339781.603516202,454439.866612981 339765.188260673,454447.350581163 339742.042473942,454453.514161568 339719.204461593,454458.088694147 339695.469635096,454461.084687005 339669.903564849,454461.949260078 339649.230959734,454462.159597882 339636.527982811,454464.569889801 339514.463667567,454467.019034252 339462.301450372,454468.579576886 339435.328525234,454470.836517504 339408.574834269,454473.149032857 339384.046875115,454473.67570018 339378.456674654,454474.086739664 339374.77876036,454481.592435249 339322.94056037,454483.699622233 339308.289753405,454487.330765508 339274.097465923,454489.024476139 339248.438864388,454488.994111692 339228.479344734,454488.606750642 339215.74738718,454487.310098874 339199.623023304,454486.392662794 339186.818338518)",trunk,Middleton Boulevard,asphalt,40 mph,yes,,yes,,,,A6514,,3,,,,,,,,,residential,
"LINESTRING (454446.872876437 339621.614432065,454438.353988392 339619.104233857,454436.03186848 339617.064359864,454434.122166792 339615.396274116,454428.779101364 339610.719009041,454362.781138274 339528.804449994)",residential,Selston Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,residential,
"LINESTRING (454443.370019133 339492.941703318,454443.786155785 339498.353393237,454442.623387226 339511.501785525,454439.082112592 339609.344227313,454437.142885028 339614.473501373,454436.562655659 339615.279129212)",cycleway,,asphalt,,,,,,,,,yes,,,3,track,,,,,,,
"LINESTRING (454475.507203555 339517.045667763,454476.529665205 339514.565075096,454475.662074534 339511.651535514)",cycleway,,,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (454464.569889801 339514.463667567,454449.104548877 339514.178165278)",trunk,,,40 mph,,,,,,,,,,,,,,,,,,residential,
"LINESTRING (454476.704395603 339469.252798123,454474.939765099 339474.384025434,454473.713313398 339508.080530539,454475.662074534 339511.651535514)",cycleway,,asphalt,,yes,,,,no,,,yes,,,2,track,,,,,,,
"LINESTRING (454553.370214386 339515.008989082,454554.69031873 339445.678499328)",residential,Averton Square,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454480.799106279 339409.421401798,454478.531994023 339412.032596643,454475.762163098 339454.478613007,454477.243834789 339458.355868154)",cycleway,,asphalt,,yes,,,,no,,,yes,,,2.5,track,,,,,,,
"LINESTRING (454480.799106279 339409.421401798,454481.220024307 339406.655891834)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,,,,no,,,,,
"LINESTRING (454481.220024307 339406.655891834,454487.469148707 339404.890622753,454586.242560884 339332.343007227,454648.563778917 339290.047056716)",residential,Dorket Drive,asphalt,20 mph,yes,,,,,both,,yes,,,,,,,,,,,
"LINESTRING (454477.243834789 339458.355868154,454477.043110273 339463.04857537,454476.704395603 339469.252798123)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,1.75,track,,no,,,,,
"LINESTRING (454467.019034252 339462.301450372,454477.043110273 339463.04857537)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,1.75,,,yes,,,,,
"LINESTRING (454451.904566856 339455.311207926,454455.596346517 339455.074661844,454463.433732525 339461.437760975,454467.019034252 339462.301450372)",cycleway,,asphalt,,yes,,,,yes,,,yes,,yes,1.75,,,yes,,,,,
"LINESTRING (454443.431360152 339440.963969268,454445.084183709 339442.773795285,454445.228038836 339455.057988473,454443.370019133 339492.941703318)",cycleway,,asphalt,,,,,,yes,,,yes,,,3,track,,,,,,,
"LINESTRING (454445.228038836 339455.057988473,454451.904566856 339455.311207926)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,1.75,,,yes,,,,,
"LINESTRING (454452.769488267 339434.605235486,454468.579576886 339435.328525234)",trunk_link,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (454443.858224905 339433.49242898,454441.77676638 339436.328242213,454441.428277117 339439.228077323,454443.431360152 339440.963969268)",cycleway,,asphalt,,,,,,yes,,,yes,,,3,track,,,,,,,
"LINESTRING (454452.769488267 339434.605235486,454445.013884484 339436.487085388,454441.428277117 339439.228077323,454438.622108876 339441.37707255,454362.836480484 339499.389206571)",residential,Scalford Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,residential,
"LINESTRING (454470.836517504 339408.574834269,454481.220024307 339406.655891834)",residential,Dorket Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454460.538213857 339315.26032541,454446.116930531 339429.835324827,454443.858224905 339433.49242898)",cycleway,,asphalt,,,,,,,,,yes,,,1.75,track,,,,,,,
"LINESTRING (454373.127824084 339905.208191287,454371.164532282 339910.103584166,454370.027333226 339915.030522672)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,3,,,no,,,,,
"LINESTRING (454374.541315046 339902.59847108,454373.127824084 339905.208191287)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,3,,,no,,,,,
"LINESTRING (454370.027333226 339915.030522672,454369.090004252 339917.122701433,454366.623719388 339918.352139989,454365.086306229 339921.227480945)",cycleway,,asphalt,,yes,,,,yes,,,,,,3,,,no,,,,,
"LINESTRING (454361.053938791 339914.74044274,454368.294411828 339914.977650332,454370.027333226 339915.030522672)",residential,Orston Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454365.086306229 339921.227480945,454363.463388581 339922.744546623,454349.209900565 339954.024958273,454348.420724926 339956.686208768)",cycleway,,asphalt,,yes,,,,,,,,,yes,2.5,,,,,,,,
"LINESTRING (454361.053938791 339914.74044274,454344.474144143 339912.696010285)",trunk,,,40 mph,,,,,,,,,2,,,,,,,,,residential,
"LINESTRING (454373.127824084 339905.208191287,454367.588831103 339902.442372929,454359.714844255 339898.192852434,454357.11186933 339902.613783558,454354.254334997 339903.382681406,454350.276384807 339901.613486608)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,,track,,,,,,,
"LINESTRING (454376.333542313 339840.649471159,454376.313810885 339843.597512705,454357.014001669 339878.459172537,454347.864325488 339895.033427692,454346.121440498 339897.060924122)",cycleway,,asphalt,,yes,,,,,,,yes,,,2,track,,,,,,,
"LINESTRING (454350.276384807 339901.613486608,454345.419631923 339899.12237926)",cycleway,,,,,,,,yes,,,yes,,,1.75,track,,yes,,,,,
"LINESTRING (454330.32450783 339912.036268405,454335.310848236 339913.16037841,454337.247031849 339913.660545181)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,3,track,,no,,,,,
"LINESTRING (454344.847352438 339536.501889688,454344.08586568 339644.266212505,454342.207264178 339736.642523669)",residential,Toston Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,residential,
"LINESTRING (454362.781138274 339528.804449994,454366.876525543 339521.952694063,454368.30874332 339514.103063877,454366.905267271 339506.254913207,454362.836480484 339499.389206571,454355.160117147 339493.639985936,454345.782291025 339491.598694336,454339.711683184 339492.442733507,454334.093635824 339494.871690821,454329.339750096 339498.734433986,454324.831301907 339505.870841697,454323.286526733 339514.175364542,454324.665571399 339521.811842024,454328.568174088 339528.51989089,454335.868887789 339534.209219321,454344.847352438 339536.501889688,454351.514497306 339535.786946693,454357.672507793 339533.141572498,454362.781138274 339528.804449994)",residential,Farndon Green,asphalt,20 mph,yes,,yes,,,both,,,,,,,,,,,,retail,
"LINESTRING (454328.568174088 339528.51989089,454237.578772275 339647.030501506,454189.821063421 339703.012405398)",residential,Scalford Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,residential,
"LINESTRING (454431.247012899 339741.215800739,454422.620071091 339740.562371652,454420.571821173 339740.461428745,454418.281832291 339740.346639255,454342.207264178 339736.642523669,454305.651972967 339735.052329987,454269.513064103 339731.086228686,454244.191922851 339724.749686245,454218.032196045 339717.091059784,454189.821063421 339703.012405398,454169.848181143 339688.291963333,454161.139707321 339678.114652654,454149.10693269 339665.374621978,454133.264271988 339646.027898381,454119.755571187 339627.063379777,454101.811860357 339592.49579578,454094.870248562 339558.908072458,454091.628002234 339536.3982636,454090.545560913 339513.033713196,454091.969842571 339489.040811866,454094.514416377 339468.220092781,454102.529724714 339438.315442511,454114.774003413 339413.620383588,454137.590067342 339386.395879782,454161.647841255 339362.322786571,454193.838823609 339348.264942896,454233.333042787 339334.934526891,454275.504344265 339328.576807981,454349.019964128 339319.590148468,454400.348874265 339313.403244513)",residential,Hawton Crescent,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,residential,
"LINESTRING (454384.506802298 339839.806895141,454378.595481468 339839.072846479,454376.347726117 339838.791668437,454374.005038064 339838.587302021,454327.485654732 339834.63747847,454275.105008969 339829.67660782,454234.633309872 339823.281237608,454206.135356876 339816.263957361,454180.092389849 339809.018481517,454156.807107713 339796.11891172,454147.971527083 339792.504248328,454133.8042179 339784.991576229,454118.670702569 339774.352983974,454109.743155876 339766.943562935,454085.197587518 339745.341213802,454067.648948809 339727.733442765,454052.673236567 339708.363306159,454030.578810943 339674.817615739,454014.681259579 339645.913866743,454005.257911543 339618.495450176,453998.800047562 339595.682767146,453996.212933329 339581.25746292,453991.932592506 339559.603920187,453989.443635232 339513.52766506,453991.169726094 339470.290997261,453995.073033771 339446.904295105,454004.291210403 339409.124950252,454017.732207806 339378.323999151,454027.574955548 339360.44407158,454055.171811037 339321.512968664,454075.110063036 339303.456779738,454095.239333341 339285.758824876,454109.581428494 339274.793848308,454137.641687025 339261.190034011,454161.495247326 339250.598757206,454183.552946249 339243.759012085,454202.818878192 339237.789227088,454219.665532449 339233.628089707,454266.324519003 339223.270930754,454329.479236604 339216.693133883,454465.895131265 339205.422833966,454467.960054789 339205.256967552,454476.445621026 339204.228914233)",residential,Sutton Passeys Crescent,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454345.782291025 339491.598694336,454348.91350815 339382.247841798,454349.019964128 339319.590148468)",residential,Toston Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,residential,
"LINESTRING (454202.818878192 339237.789227088,454207.570684323 339255.098171963,454233.333042787 339334.934526891,454265.228922092 339386.703484059,454329.339750096 339498.734433986)",residential,Selston Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454323.286526733 339514.175364542,454236.057948827 339513.095639862,454161.557179672 339512.538367732,454090.545560913 339513.033713196,453989.443635232 339513.52766506)",residential,Broughton Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,residential,
"LINESTRING (454497.85034212 339200.531757207,454524.878086154 339204.730482819,454548.24176536 339210.857228014,454578.584473929 339222.013739748,454626.721949207 339244.441408008,454645.045766807 339251.123578014,454676.480555592 339260.746612705,454680.854114456 339267.3823973)",residential,Charnock Avenue,asphalt,20 mph,yes,,,,,both,,yes,,,,,,,,,,,
"LINESTRING (454497.85034212 339200.531757207,454498.005986806 339214.740796892,454488.606750642 339215.74738718)",cycleway,,asphalt,,yes,,,,,,,yes,,,1.75,,,,,,,,
"LINESTRING (454487.310098874 339199.623023304,454497.85034212 339200.531757207)",residential,Charnock Avenue,asphalt,20 mph,yes,,,,,both,,yes,,,,,,,,,,,
"LINESTRING (454459.03482043 339311.516338745,454460.538213857 339315.26032541)",cycleway,,,,,,,,,,,yes,,,1.75,track,,,,,,,
"LINESTRING (454452.549695854 339306.781685976,454455.130641062 339307.33366105,454456.149555818 339307.556524894,454462.702166324 339311.668914021,454466.308719856 339320.198321637)",residential,Hawton Crescent,asphalt,20 mph,yes,,yes,,,both,,,,,,,,,,,,residential,
"LINESTRING (454483.699622233 339308.289753405,454468.550391696 339300.765051904)",trunk,,,40 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (454456.149555818 339307.556524894,454459.03482043 339311.516338745)",cycleway,,,,,,,,yes,,,yes,,,1.75,track,,,,,,,
"LINESTRING (454457.55258437 339307.683586842,454456.149555818 339307.556524894)",cycleway,,,,,,,,yes,,,yes,,,1.75,track,,,,,,,
"LINESTRING (454462.663043428 339303.213080245,454461.243621768 339305.733705163,454459.696588513 339307.652114795,454457.55258437 339307.683586842)",cycleway,,,,,,,,yes,,,yes,,,1.75,track,,,,,,,
"LINESTRING (454400.348874265 339313.403244513,454452.549695854 339306.781685976)",residential,Hawton Crescent,asphalt,,yes,,,,,,,,,,,,,,,,,residential,
"LINESTRING (454476.445621026 339204.228914233,454476.389816803 339227.068969709,454475.288911338 339247.238249347,454473.016929529 339272.934839636,454468.550391696 339300.765051904)",trunk,Middleton Boulevard,asphalt,40 mph,yes,,yes,,,,A6514,,2,,,,,,,,,residential,
"LINESTRING (454467.960054789 339205.256967552,454467.918914574 339207.715242908,454471.403542235 339207.988145174,454471.070593492 339216.66229552,454470.828531662 339235.161300837,454468.330226681 339262.457416493,454466.493896556 339285.277409977,454464.093773838 339300.881716941,454462.663043428 339303.213080245)",cycleway,,,,,,,,,,,yes,,,1.75,track,,,,,,,
"LINESTRING (454469.889057667 339192.106093859,454471.066578088 339202.110075747,454468.027821106 339202.821243262,454467.960054789 339205.256967552)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,1.75,track,,,,,,,
"LINESTRING (454445.036042751 339116.528626049,454442.652392809 339116.946800024,454428.295996225 339119.522007915,454425.934091466 339120.396580945,454413.875593199 339123.00882974,454364.52361208 339137.27272608,454141.26623927 339163.170451842)",service,Lime Tree Avenue,asphalt,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455027.906172602 339299.357262341,455018.456633981 339290.616274263,455031.456455889 339272.60738186,455033.545185521 339270.350427218)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454929.678945781 339184.804036305,454934.838211932 339186.142104122,454947.360657848 339189.432962147,454966.118274786 339198.13500831,454986.145902232 339213.927416972,455033.867890395 339252.631116846)",primary,Derby Road,asphalt,30 mph,yes,,,,,both,A6200,,4,,,,,,,,,mixed,
"LINESTRING (454938.730784989 339169.442415092,454981.372637239 339180.429758567)",service,,,,,,,,,,,,,,,,,,,,,,
